"","Sum Sq","Df","F value","Pr(>F)","PctExp","constrasts","Region","Stain","FDR_adjusted_pval","group1","group2"
"Age.Harvested119",237.078430655367,1,28.9346287415975,2.8936644284468e-05,45.1792032478002,"Age.Harvested","Dentate.gyrus..molecular.layer","Iba1",7.83215673767057e-05,6,14
"Age.Harvested120",1438.36031481858,1,38.0840220335659,4.98345322820185e-06,57.0727186904599,"Age.Harvested","Dentate.gyrus..polymorph.layer","Iba1",1.61229369147707e-05,6,14
"Age.Harvested121",328.489061298041,1,65.7141779201585,9.49812461428746e-08,56.0753460296751,"Age.Harvested","Endopiriform.nucleus","Iba1",5.02304667101741e-07,6,14
"Age.Harvested122",124.005490706024,1,41.1976471944193,2.92237869458084e-06,52.1413761927533,"Age.Harvested","Entorhinal.area","Iba1",1.00456767626216e-05,6,14
"Age.Harvested123",95.8261958183533,1,12.7123595160523,0.00193774411321618,25.3032268941507,"Age.Harvested","Epithalamus","Iba1",0.00391823258187095,6,14
"Age.Harvested124",247.208489812856,1,87.443648169399,9.65614265992623e-09,71.1855847559282,"Age.Harvested","fiber.tracts","Iba1",7.17686278778301e-08,6,14
"Age.Harvested125",341.53919139449,1,59.8086615782499,1.95908283764822e-07,52.3529102135684,"Age.Harvested","Fundus.of.striatum","Iba1",9.79541418824109e-07,6,14
"Age.Harvested126",247.769865447133,1,13.0531494183331,0.00173548354587009,27.1325039496164,"Age.Harvested","Geniculate.group..dorsal.thalamus","Iba1",0.00358840582792689,6,14
"Age.Harvested127",569.88404521503,1,33.5149489275431,1.15354559041328e-05,45.4391044414189,"Age.Harvested","Geniculate.group..ventral.thalamus","Iba1",3.4859894215786e-05,6,14
"Age.Harvested128",295.215716741686,1,82.9965060054115,1.48016558145068e-08,65.3829473617167,"Age.Harvested","Hippo","Iba1",1.01761383724734e-07,6,14
"Age.Harvested129",156.686144737325,1,44.6967791109022,1.65697500514822e-06,42.5181487412544,"Age.Harvested","Hippocampal.formation","Iba1",6.24202912898303e-06,6,14
"Age.Harvested130",26.9091242600277,1,30.0977093085881,2.27217088131365e-05,43.0119128967652,"Age.Harvested","Hypothalamus","Iba1",6.31158578142681e-05,6,14
"Age.Harvested131",22.9554238785859,1,2.45121364683982,0.133119993643478,7.09996182747176,"Age.Harvested","Induseum.griseum","Iba1",0.188409000031078,6,14
"Age.Harvested132",238.121652901664,1,17.813729916442,0.000419965161701843,36.6761245564668,"Age.Harvested","Intralaminar.nuclei.of.the.dorsal.thalamus","Iba1",0.000938946499739892,6,14
"Age.Harvested133",115.03982189637,1,43.0779464560057,2.14570859960317e-06,55.1023924116887,"Age.Harvested","Isocortex","Iba1",7.86759819854495e-06,6,14
"Age.Harvested134",64.482446123232,1,20.2301817214792,0.000219896697290432,32.3126829457393,"Age.Harvested","Lateral.amygdalar.nucleus","Iba1",0.000516851211580076,6,14
